"code_ins","lieu_residence","pop_2019"
"01000","Belgique",11431406
"02000","Région flamande",6589069
"03000","Région wallonne",3633795
"04000","Région de Bruxelles-Capitale",1208542
"10000","Province d’Anvers",1857986
"11000","Arrondissement d’Anvers",1051301
"11001","Aartselaar",14293
"11002","Anvers",525935
"11004","Boechout",13266
"11005","Boom",18244
"11007","Borsbeek",10854
"11008","Brasschaat",37946
"11009","Brecht",29268
"11013","Edegem",22063
"11016","Essen",19038
"11018","Hemiksem",11559
"11021","Hove (Anvers)",8125
"11022","Kalmthout",18695
"11023","Kapellen (Anvers)",26850
"11024","Kontich",21115
"11025","Lint",8718
"11029","Mortsel",26099
"11030","Niel",10501
"11035","Ranst",19008
"11037","Rumst",15090
"11038","Schelle",8518
"11039","Schilde",19652
"11040","Schoten",34517
"11044","Stabroek",18710
"11050","Wijnegem",9816
"11052","Wommelgem",12865
"11053","Wuustwezel",20970
"11054","Zandhoven",13025
"11055","Zoersel",21944
"11056","Zwijndrecht",19056
"11057","Malle",15561
"12000","Arrondissement de Malines",344818
"12002","Berlaar",11527
"12005","Bonheiden",15010
"12007","Bornem",21366
"12009","Duffel",17491
"12014","Heist-op-den-Berg",42681
"12021","Lierre",36242
"12025","Malines",86616
"12026","Nijlen",22949
"12029","Putte",17800
"12035","Sint-Katelijne-Waver",20792
"12040","Willebroek",26462
"12041","Puurs-Sint-Amands",25882
"13000","Arrondissement de Turnhout",461867
"13001","Arendonk",13293
"13002","Baerle-Duc",2760
"13003","Balen",22618
"13004","Beerse",18084
"13006","Dessel",9598
"13008","Geel",40353
"13010","Grobbendonk",11155
"13011","Herentals",28177
"13012","Herenthout",9061
"13013","Herselt",14523
"13014","Hoogstraten",21355
"13016","Hulshout",10424
"13017","Kasterlee",18655
"13019","Lille",16529
"13021","Meerhout",10361
"13023","Merksplas",8600
"13025","Mol",36825
"13029","Olen",12505
"13031","Oud-Turnhout",13662
"13035","Ravels",15009
"13036","Retie",11396
"13037","Rijkevorsel",12060
"13040","Turnhout",44664
"13044","Vorselaar",7861
"13046","Vosselaar",11187
"13049","Westerlo",25051
"13053","Laakdal",16101
"20001","Province du Brabant flamand",1146175
"20002","Province du Brabant wallon",403599
"21000","Arrondissement de Bruxelles-Capitale",1208542
"21001","Anderlecht",119714
"21002","Auderghem",34013
"21003","Berchem-Sainte-Agathe",25179
"21004","Bruxelles",181726
"21005","Etterbeek",48367
"21006","Evere",41763
"21007","Forest (Bruxelles-Capitale)",56289
"21008","Ganshoren",24902
"21009","Ixelles",86876
"21010","Jette",52536
"21011","Koekelberg",21990
"21012","Molenbeek-Saint-Jean",97462
"21013","Saint-Gilles",50267
"21014","Saint-Josse-ten-Noode",27457
"21015","Schaerbeek",133309
"21016","Uccle",83024
"21017","Watermael-Boitsfort",25184
"21018","Woluwe-Saint-Lambert",56660
"21019","Woluwe-Saint-Pierre",41824
"23000","Arrondissement de Hal-Vilvorde",637441
"23002","Asse",33158
"23003","Beersel",25251
"23009","Biévène",2159
"23016","Dilbeek",42847
"23023","Gammerages",8746
"23024","Gooik",9170
"23025","Grimbergen",37542
"23027","Hal (Hal-Vilvorde)",39540
"23032","Herne",6665
"23033","Hoeilaart",11321
"23038","Kampenhout",11972
"23039","Kapelle-op-den-Bos",9413
"23044","Liedekerke",13295
"23045","Londerzeel",18749
"23047","Machelen (Hal-Vilvorde)",15469
"23050","Meise",19411
"23052","Merchtem",16583
"23060","Opwijk",14547
"23062","Overijse",25403
"23064","Pepingen",4479
"23077","Sint-Pieters-Leeuw",34228
"23081","Steenokkerzeel",12135
"23086","Ternat",15746
"23088","Vilvorde",44727
"23094","Zaventem",34368
"23096","Zemst",23358
"23097","Roosdaal",11631
"23098","Drogenbos",5689
"23099","Kraainem",13730
"23100","Linkebeek",4671
"23101","Rhode-Saint-Genèse",18387
"23102","Wemmel",16491
"23103","Wezembeek-Oppem",14258
"23104","Lennik",9074
"23105","Affligem",13228
"24000","Arrondissement de Louvain",508734
"24001","Aarschot",30115
"24007","Begijnendijk",10114
"24008","Bekkevoort",6306
"24009","Bertem",10007
"24011","Bierbeek",10083
"24014","Boortmeerbeek",12516
"24016","Boutersem",8242
"24020","Diest",23998
"24028","Geetbets",6118
"24033","Haacht",14577
"24038","Herent",21682
"24041","Hoegaarden",6886
"24043","Holsbeek",10019
"24045","Huldenberg",9921
"24048","Keerbergen",12850
"24054","Kortenaken",7875
"24055","Kortenberg",20279
"24059","Landen",15951
"24062","Louvain",101624
"24066","Lubbeek",14559
"24086","Oud-Heverlee",11112
"24094","Rotselaar",16793
"24104","Tervuren",22422
"24107","Tirlemont",34975
"24109","Tremelo",14914
"24130","Léau",8480
"24133","Linter",7269
"24134","Montaigu-Zichem",23029
"24135","Tielt-Winge",10747
"24137","Glabbeek",5271
"25000","Arrondissement de Nivelles",403599
"25005","Beauvechain",7243
"25014","Braine-l’Alleud",40008
"25015","Braine-le-Château",10549
"25018","Chaumont-Gistoux",11798
"25023","Court-Saint-Etienne",10540
"25031","Genappe",15427
"25037","Grez-Doiceau",13668
"25043","Incourt",5487
"25044","Ittre",6889
"25048","Jodoigne",14123
"25050","La Hulpe",7343
"25068","Mont-Saint-Guibert",7771
"25072","Nivelles",28734
"25084","Perwez (Nivelles)",9303
"25091","Rixensart",22558
"25105","Tubize",26233
"25107","Villers-la-Ville",10702
"25110","Waterloo",30328
"25112","Wavre",34396
"25117","Chastre",7647
"25118","Hélécine",3553
"25119","Lasne",14244
"25120","Orp-Jauche",8924
"25121","Ottignies-Louvain-la-Neuve",31443
"25122","Ramillies",6522
"25123","Rebecq",10979
"25124","Walhain",7187
"30000","Province de Flandre occidentale",1195796
"31000","Arrondissement de Bruges",282209
"31003","Beernem",15763
"31004","Blankenberge",20436
"31005","Bruges",118325
"31006","Damme",10993
"31012","Jabbeke",13865
"31022","Oostkamp",23698
"31033","Torhout",20463
"31040","Zedelgem",22819
"31042","Zuienkerke",2721
"31043","Knokke-Heist",33126
"32000","Arrondissement de Dixmude",51525
"32003","Dixmude",16743
"32006","Houthulst",10098
"32010","Koekelare",8777
"32011","Kortemark",12616
"32030","Lo-Reninge",3291
"33000","Arrondissement d’Ypres",106279
"33011","Ypres",34845
"33016","Messines",1065
"33021","Poperinge",19702
"33029","Wervik",18767
"33037","Zonnebeke",12481
"33039","Heuvelland",7909
"33040","Langemark-Poelkapelle",7819
"33041","Vleteren",3691
"34000","Arrondissement de Courtrai",290706
"34002","Anzegem",14716
"34003","Avelgem",10158
"34009","Deerlijk",11946
"34013","Harelbeke",28158
"34022","Courtrai",76735
"34023","Kuurne",13484
"34025","Lendelede",5747
"34027","Menin",33385
"34040","Waregem",38266
"34041","Wevelgem",31406
"34042","Zwevegem",24656
"34043","Espierres-Helchin",2049
"35000","Arrondissement d’Ostende",157200
"35002","Bredene",18095
"35005","Gistel",12178
"35006","Ichtegem",14050
"35011","Middelkerke",19336
"35013","Ostende",71494
"35014","Oudenburg",9381
"35029","De Haan",12666
"36000","Arrondissement de Roulers",153315
"36006","Hooglede",9987
"36007","Ingelmunster",10996
"36008","Izegem",28018
"36010","Ledegem",9695
"36011","Lichtervelde",8926
"36012","Moorslede",11250
"36015","Roulers",62954
"36019","Staden",11489
"37000","Arrondissement de Tielt",92905
"37002","Dentergem",8555
"37007","Meulebeke",10860
"37010","Oostrozebeke",7932
"37011","Pittem",6738
"37012","Ruiselede",5358
"37015","Tielt (Tielt)",20502
"37017","Wielsbeke",9641
"37018","Wingene",14263
"37020","Ardooie",9056
"38000","Arrondissement de Furnes",61657
"38002","Alveringem",5047
"38008","La Panne",11176
"38014","Koksijde",21910
"38016","Nieuport",11621
"38025","Furnes",11903
"40000","Province de Flandre orientale",1515064
"41000","Arrondissement d’Alost",291229
"41002","Alost (Alost)",86445
"41011","Denderleeuw",20338
"41018","Grammont",33439
"41024","Haaltert",18633
"41027","Herzele",18027
"41034","Lede",18701
"41048","Ninove",38911
"41063","Sint-Lievens-Houtem",10342
"41081","Zottegem",26582
"41082","Erpe-Mere",19811
"42000","Arrondissement de Termonde",201213
"42003","Berlare",14958
"42004","Buggenhout",14517
"42006","Termonde",45769
"42008","Hamme (Termonde)",24865
"42010","Laarne",12370
"42011","Lebbeke",19321
"42023","Waasmunster",10801
"42025","Wetteren",25815
"42026","Wichelen",11672
"42028","Zele",21125
"43000","Arrondissement d’Eeklo",85235
"43002","Assenede",14256
"43005","Eeklo",21134
"43007","Kaprijke",6434
"43010","Maldegem",23774
"43014","Sint-Laureins",6783
"43018","Zelzate",12854
"44000","Arrondissement de Gand",560522
"44012","De Pinte",10683
"44013","Destelbergen",18271
"44019","Evergem",35447
"44020","Gavere",12805
"44021","Gand",262219
"44034","Lochristi",22489
"44040","Melle",11736
"44043","Merelbeke",24660
"44045","Moerbeke (Gand)",6481
"44048","Nazareth",11619
"44052","Oosterzele",13590
"44064","Sint-Martens-Latem",8392
"44073","Wachtebeke",7771
"44081","Zulte",15720
"44083","Deinze",43571
"44084","Aalter",28906
"44085","Lievegem",26162
"45000","Arrondissement d’Audenarde",124342
"45035","Audenarde",31393
"45041","Renaix",26479
"45059","Brakel",14801
"45060","Kluisbergen",6488
"45061","Wortegem-Petegem",6397
"45062","Horebeke",2036
"45063","Lierde",6616
"45064","Maarkedal",6343
"45065","Zwalin",8148
"45068","Kruisem",15641
"46000","Arrondissement de Saint-Nicolas",252523
"46003","Beveren (Saint-Nicolas)",48668
"46013","Kruibeke",16745
"46014","Lokeren",41690
"46020","Sint-Gillis-Waas",19370
"46021","Saint-Nicolas (Saint-Nicolas)",77679
"46024","Stekene",18445
"46025","Tamise",29926
"50000","Province du Hainaut",1344241
"51000","Arrondissement d’Ath",127915
"51004","Ath",29311
"51008","Beloeil",14068
"51009","Bernissart",11859
"51012","Brugelette",3728
"51014","Chièvres",6916
"51017","Ellezelles",5975
"51019","Flobecq",3447
"51065","Frasnes-lez-Anvaing",11814
"51067","Enghien",13817
"51068","Silly",8324
"51069","Lessines",18656
"52000","Arrondissement de Charleroi",396639
"52010","Chapelle-lez-Herlaimont",14737
"52011","Charleroi",202267
"52012","Châtelet",35903
"52015","Courcelles",31299
"52018","Farciennes",11316
"52021","Fleurus",22918
"52022","Fontaine-l’Evêque",17806
"52025","Gerpinnes",12716
"52048","Montigny-le-Tilleul",10112
"52055","Pont-à-Celles",17371
"52074","Aiseau-Presles",10743
"52075","Les Bons Villers",9451
"53000","Arrondissement de Mons",258999
"53014","Boussu",19824
"53020","Dour",16644
"53028","Frameries",21934
"53039","Hensies",6828
"53044","Jurbise",10383
"53046","Lens",4525
"53053","Mons",95613
"53065","Quaregnon",19007
"53068","Quiévrain",6822
"53070","Saint-Ghislain",23311
"53082","Colfontaine",20811
"53083","Honnelles",5159
"53084","Quévy",8138
"55000","Arrondissement de Soignies",104533
"55004","Braine-le-Comte",21901
"55035","Le Roeulx",8716
"55040","Soignies",28016
"55050","Ecaussinnes",11159
"55085","Seneffe",11433
"55086","Manage",23308
"56000","Arrondissement de Thuin",91678
"56001","Anderlues",12261
"56005","Beaumont",7124
"56016","Chimay",9805
"56022","Erquelinnes",10003
"56029","Froidchapelle",3959
"56044","Lobbes",5832
"56049","Merbes-le-Château",4266
"56051","Momignies",5305
"56078","Thuin",14702
"56086","Ham-sur-Heure-Nalinnes",13623
"56088","Sivry-Rance",4798
"57000","Arrondissement de Tournai-Mouscron",223417
"57003","Antoing",7687
"57018","Celles (Tournai)",5666
"57027","Estaimpuis",10478
"57062","Pecq",5698
"57064","Péruwelz",17159
"57072","Rumes",5167
"57081","Tournai",69370
"57093","Brunehaut",8080
"57094","Leuze-en-Hainaut",13850
"57095","Mont-de-l’Enclus",3764
"57096","Mouscron",58474
"57097","Comines-Warneton",18024
"58000","Arrondissement de La Louvière",141060
"58001","La Louvière",80757
"58002","Binche",33473
"58003","Estinnes",7765
"58004","Morlanwelz",19065
"60000","Province de Liège",1106992
"61000","Arrondissement de Huy",113409
"61003","Amay",14412
"61010","Burdinne",3238
"61012","Clavier",4637
"61019","Ferrières",4935
"61024","Hamoir",3880
"61028","Héron",5375
"61031","Huy",21227
"61039","Marchin",5469
"61041","Modave",4212
"61043","Nandrin",5753
"61048","Ouffet",2776
"61063","Verlaine",4228
"61068","Villers-Le-Bouillet",6496
"61072","Wanze",13738
"61079","Anthisnes",4189
"61080","Engis",6138
"61081","Tinlot",2706
"62000","Arrondissement de Liège",624422
"62003","Ans",28373
"62006","Awans",9318
"62009","Aywaille",12436
"62011","Bassenge",8905
"62015","Beyne-Heusay",11929
"62022","Chaudfontaine",20800
"62026","Comblain-au-Pont",5404
"62027","Dalhem",7408
"62032","Esneux",12917
"62038","Fléron",16526
"62051","Herstal",39989
"62060","Juprelle",9295
"62063","Liège",197327
"62079","Oupeye",25446
"62093","Saint-Nicolas (Liège)",24263
"62096","Seraing",64259
"62099","Soumagne",16925
"62100","Sprimont",14712
"62108","Visé",17812
"62118","Grâce-Hollogne",22660
"62119","Blegny",13292
"62120","Flémalle",26304
"62121","Neupré",9923
"62122","Trooz",8199
"63000","Arrondissement de Verviers",287772
"63001","Amblève",5474
"63003","Aubel",4288
"63004","Baelen",4454
"63012","Bullange",5478
"63013","Butgenbach",5610
"63020","Dison",15248
"63023","Eupen",19677
"63035","Herve",17609
"63038","Jalhay",8585
"63040","La Calamine",11108
"63045","Lierneux",3614
"63046","Limbourg",5912
"63048","Lontzen",5764
"63049","Malmedy",12741
"63057","Olne",4080
"63058","Pepinster",9772
"63061","Raeren",10759
"63067","Saint-Vith",9722
"63072","Spa",10229
"63073","Stavelot",7169
"63075","Stoumont",3167
"63076","Theux",12031
"63079","Verviers",55207
"63080","Waimes",7425
"63084","Welkenraedt",10002
"63086","Trois-Ponts",2553
"63087","Burg-Reuland",3935
"63088","Plombières",10459
"63089","Thimister-Clermont",5700
"64000","Arrondissement de Waremme",81389
"64008","Berloz",3132
"64015","Braives",6375
"64021","Crisnée",3412
"64023","Donceel",3060
"64025","Fexhe-le-Haut-Clocher",3233
"64029","Geer",3485
"64034","Hannut",16571
"64047","Lincent",3311
"64056","Oreye",3895
"64063","Remicourt",5906
"64065","Saint-Georges-sur-Meuse",6803
"64074","Waremme",15334
"64075","Wasseiges",2937
"64076","Faimes",3935
"70000","Province du Limbourg",874048
"71000","Arrondissement de Hasselt",418496
"71002","As",8202
"71004","Beringen",46346
"71011","Diepenbeek",19031
"71016","Genk",66227
"71017","Gingelom",8405
"71020","Halen",9427
"71022","Hasselt",78296
"71024","Herck-la-Ville",12636
"71034","Bourg-Léopold",15755
"71037","Lummen",14890
"71045","Nieuwerkerken (Hasselt)",6947
"71053","Saint-Trond",40590
"71057","Tessenderlo",18613
"71066","Zonhoven",21237
"71067","Zutendaal",7289
"71069","Ham",10897
"71070","Heusden-Zolder",33708
"72000","Arrondissement de Maaseik",251589
"72003","Bocholt",13110
"72004","Bree",16085
"72018","Kinrooi",12174
"72020","Lommel",34079
"72021","Maaseik",25317
"72030","Peer",16357
"72037","Hamont-Achel",14369
"72038","Hechtel-Eksel",12419
"72039","Houthalen-Helchteren",30655
"72041","Dilsen-Stokkem",20590
"72042","Oudsbergen",23532
"72043","Pelt",32902
"73000","Arrondissement de Tongres",203963
"73001","Alken",11499
"73006","Bilzen",32328
"73009","Looz",10906
"73022","Heers",7391
"73028","Herstappe",83
"73032","Hoeselt",9688
"73040","Kortessem",8442
"73042","Lanaken",25841
"73066","Riemst",16755
"73083","Tongres",30996
"73098","Wellen",7372
"73107","Maasmechelen",38516
"73109","Fourons",4146
"80000","Province du Luxembourg",284638
"81000","Arrondissement d’Arlon",62623
"81001","Arlon",29858
"81003","Attert",5578
"81004","Aubange",17093
"81013","Martelange",1876
"81015","Messancy",8218
"82000","Arrondissement de Bastogne",48413
"82003","Bastogne",15985
"82005","Bertogne",3659
"82009","Fauvillers",2281
"82014","Houffalize",5193
"82032","Vielsalm",7814
"82036","Vaux-sur-Sûre",5640
"82037","Gouvy",5286
"82038","Sainte-Ode",2555
"83000","Arrondissement de Marche-en-Famenne",56476
"83012","Durbuy",11395
"83013","Erezée",3284
"83028","Hotton",5556
"83031","La Roche-en-Ardenne",4253
"83034","Marche-en-Famenne",17465
"83040","Nassogne",5498
"83044","Rendeux",2637
"83049","Tenneville",2832
"83055","Manhay",3556
"84000","Arrondissement de Neufchâteau",63375
"84009","Bertrix",8793
"84010","Bouillon",5411
"84016","Daverdisse",1395
"84029","Herbeumont",1624
"84033","Léglise",5471
"84035","Libin",5223
"84043","Neufchâteau (Neufchâteau)",7699
"84050","Paliseul",5389
"84059","Saint-Hubert",5569
"84068","Tellin",2432
"84075","Wellin",3093
"84077","Libramont-Chevigny",11276
"85000","Arrondissement de Virton",53751
"85007","Chiny",5180
"85009","Etalle",5877
"85011","Florenville",5578
"85024","Meix-devant-Virton",2809
"85026","Musson",4551
"85034","Saint-Léger (Virton)",3608
"85039","Tintigny",4300
"85045","Virton",11332
"85046","Habay",8409
"85047","Rouvroy",2107
"90000","Province de Namur",494325
"91000","Arrondissement de Dinant",111008
"91005","Anhée",7046
"91013","Beauraing",9159
"91015","Bièvre",3355
"91030","Ciney",16580
"91034","Dinant",13451
"91054","Gedinne",4632
"91059","Hamois",7357
"91064","Havelange",5175
"91072","Houyet",4956
"91103","Onhaye",3241
"91114","Rochefort",12611
"91120","Somme-Leuze",5641
"91141","Yvoir",9167
"91142","Hastière",6022
"91143","Vresse-sur-Semois",2615
"92000","Arrondissement de Namur",316962
"92003","Andenne",27391
"92006","Assesse",7032
"92035","Eghezée",16337
"92045","Floreffe",8144
"92048","Fosses-la-Ville",10388
"92054","Gesves",7202
"92087","Mettet",13102
"92094","Namur",110779
"92097","Ohey",5127
"92101","Profondeville",12220
"92114","Sombreffe",8440
"92137","Sambreville",28288
"92138","Fernelmont",8032
"92140","Jemeppe-sur-Sambre",19190
"92141","La Bruyère",9276
"92142","Gembloux",26014
"93000","Arrondissement de Philippeville",66355
"93010","Cerfontaine",4923
"93014","Couvin",13747
"93018","Doische",2997
"93022","Florennes",11310
"93056","Philippeville",9289
"93088","Walcourt",18430
"93090","Viroinval",5659
,,
"Source: Statbel (Direction générale Statistique – Statistics Belgium )",,
"Bron: Statbel (Algemene Directie Statistiek – Statistics Belgium )",,
"Source: Statbel (Directorate-general Statistics – Statistics Belgium )",,
